"Campaign","Ad group","Status","Final URL","Path 1","Path 2","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Description 1","Description 2","Description 3","Description 4"
"SRCH-UK-C-OUTSIDE","IT-GENERAL","Paused","https://naserwis.pl/uk/","it","warszawa","IT Сервіс У Варшаві","IT Майстер З Виїздом","Допомога Для Дому Й Офісу","Мережі Wi-Fi Та Комп'ютери","Підтримка 4 Мовами","Час За Домовленістю","Зрозумілі Умови Роботи","Зв'яжіться Із Сервісом","IT-допомога з виїздом у Варшаві: мережі, Wi-Fi й налаштування обладнання.","Обслуговування українською, польською, російською та англійською.","Спочатку уточнимо задачу, потім підтвердимо обсяг та умови візиту.","Зателефонуйте, напишіть у месенджер або надішліть контактну форму."
"SRCH-EN-A-CORE","WIFI-REPAIR","Paused","https://naserwis.pl/en/naprawa-wifi/","wifi","serwis","Wi-Fi Repair In Warsaw","Router Setup Service","Improve Your Wi-Fi Coverage","Mesh Wi-Fi Installation","On-Site Technician","Wi-Fi Network Diagnostics","For Homes And Offices","Book By Phone Or Form","We diagnose Wi-Fi, router and coverage issues. Visit and timing agreed in advance.","Router and Mesh setup for homes or offices. Clear terms before the visit.","Weak or unstable Wi-Fi? We will inspect the network and propose a solution.","Support in English, Polish, Ukrainian and Russian. Call or send the form."
"SRCH-EN-A-CORE","LAN-INSTALL","Paused","https://naserwis.pl/en/montaz-sieci/","lan","montaz","LAN Installation Warsaw","Structured Network Cabling","RJ45 Socket Installation","RACK Cabinet Installation","Office LAN Installation","Quote After Consultation","On-Site Technician","Book A Site Inspection","LAN networks, RJ45 sockets and RACK cabinets installed across Warsaw.","Initial phone consultation. Any call-out fee is agreed before arrival.","Networks for homes, offices and premises. Scope and materials agreed first.","Call or send a short site description and we will propose the next step."
"SRCH-EN-A-CORE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/en/naprawa-sieci/","lan","naprawa","LAN Network Repair","Network Cabling Service","Office Network Diagnostics","RJ45 Socket Repair","CCTV System Service","On-Site Across Warsaw","Clear Terms Before Visit","Report A Network Fault","We locate LAN, cabling and RJ45 faults. The work scope is agreed first.","Help with network and CCTV faults at homes, offices and commercial premises.","Visit and timing agreed in advance. Results depend on on-site diagnostics.","Describe the fault in the form or call us to agree the next step."
"SRCH-EN-A-CORE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/en/","komputer","serwis","Computer Repair Warsaw","Laptop Repair Service","Is Your Computer Slow?","Computer Diagnostics","On-Site Technician","For Homes And Offices","Terms Agreed Before Repair","Book By Phone Or Form","Computer and laptop diagnostics. Scope and price are confirmed before repair.","Slow computer or hardware fault? Arrange diagnostics and a Warsaw visit.","Visit and timing agreed first. Parts and extra work require your approval.","Call or describe the problem in the form and we will agree the next step."
"SRCH-EN-A-CORE","IT-GENERAL","Paused","https://naserwis.pl/en/","it","warszawa","IT Service In Warsaw","On-Site IT Technician","IT Help For Home And Office","Networks Wi-Fi And Computers","Support In 4 Languages","Appointment By Agreement","Clear Service Terms","Contact Our IT Service","On-site IT help in Warsaw for networks, Wi-Fi and equipment setup.","Support in English, Polish, Ukrainian and Russian. Timing agreed in advance.","We first clarify the issue, then confirm the scope and visit terms.","Call, message us or send the contact form to arrange the next step."
"SRCH-EN-B-WARSAW-FAR","WIFI-REPAIR","Paused","https://naserwis.pl/en/naprawa-wifi/","wifi","serwis","Wi-Fi Repair In Warsaw","Router Setup Service","Improve Your Wi-Fi Coverage","Mesh Wi-Fi Installation","On-Site Technician","Wi-Fi Network Diagnostics","For Homes And Offices","Book By Phone Or Form","We diagnose Wi-Fi, router and coverage issues. Visit and timing agreed in advance.","Router and Mesh setup for homes or offices. Clear terms before the visit.","Weak or unstable Wi-Fi? We will inspect the network and propose a solution.","Support in English, Polish, Ukrainian and Russian. Call or send the form."
"SRCH-EN-B-WARSAW-FAR","LAN-INSTALL","Paused","https://naserwis.pl/en/montaz-sieci/","lan","montaz","LAN Installation Warsaw","Structured Network Cabling","RJ45 Socket Installation","RACK Cabinet Installation","Office LAN Installation","Quote After Consultation","On-Site Technician","Book A Site Inspection","LAN networks, RJ45 sockets and RACK cabinets installed across Warsaw.","Initial phone consultation. Any call-out fee is agreed before arrival.","Networks for homes, offices and premises. Scope and materials agreed first.","Call or send a short site description and we will propose the next step."
"SRCH-EN-B-WARSAW-FAR","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/en/naprawa-sieci/","lan","naprawa","LAN Network Repair","Network Cabling Service","Office Network Diagnostics","RJ45 Socket Repair","CCTV System Service","On-Site Across Warsaw","Clear Terms Before Visit","Report A Network Fault","We locate LAN, cabling and RJ45 faults. The work scope is agreed first.","Help with network and CCTV faults at homes, offices and commercial premises.","Visit and timing agreed in advance. Results depend on on-site diagnostics.","Describe the fault in the form or call us to agree the next step."
"SRCH-EN-B-WARSAW-FAR","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/en/","komputer","serwis","Computer Repair Warsaw","Laptop Repair Service","Is Your Computer Slow?","Computer Diagnostics","On-Site Technician","For Homes And Offices","Terms Agreed Before Repair","Book By Phone Or Form","Computer and laptop diagnostics. Scope and price are confirmed before repair.","Slow computer or hardware fault? Arrange diagnostics and a Warsaw visit.","Visit and timing agreed first. Parts and extra work require your approval.","Call or describe the problem in the form and we will agree the next step."
"SRCH-EN-B-WARSAW-FAR","IT-GENERAL","Paused","https://naserwis.pl/en/","it","warszawa","IT Service In Warsaw","On-Site IT Technician","IT Help For Home And Office","Networks Wi-Fi And Computers","Support In 4 Languages","Appointment By Agreement","Clear Service Terms","Contact Our IT Service","On-site IT help in Warsaw for networks, Wi-Fi and equipment setup.","Support in English, Polish, Ukrainian and Russian. Timing agreed in advance.","We first clarify the issue, then confirm the scope and visit terms.","Call, message us or send the contact form to arrange the next step."
"SRCH-EN-C-OUTSIDE","WIFI-REPAIR","Paused","https://naserwis.pl/en/naprawa-wifi/","wifi","serwis","Wi-Fi Repair In Warsaw","Router Setup Service","Improve Your Wi-Fi Coverage","Mesh Wi-Fi Installation","On-Site Technician","Wi-Fi Network Diagnostics","For Homes And Offices","Book By Phone Or Form","We diagnose Wi-Fi, router and coverage issues. Visit and timing agreed in advance.","Router and Mesh setup for homes or offices. Clear terms before the visit.","Weak or unstable Wi-Fi? We will inspect the network and propose a solution.","Support in English, Polish, Ukrainian and Russian. Call or send the form."
"SRCH-EN-C-OUTSIDE","LAN-INSTALL","Paused","https://naserwis.pl/en/montaz-sieci/","lan","montaz","LAN Installation Warsaw","Structured Network Cabling","RJ45 Socket Installation","RACK Cabinet Installation","Office LAN Installation","Quote After Consultation","On-Site Technician","Book A Site Inspection","LAN networks, RJ45 sockets and RACK cabinets installed across Warsaw.","Initial phone consultation. Any call-out fee is agreed before arrival.","Networks for homes, offices and premises. Scope and materials agreed first.","Call or send a short site description and we will propose the next step."
"SRCH-EN-C-OUTSIDE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/en/naprawa-sieci/","lan","naprawa","LAN Network Repair","Network Cabling Service","Office Network Diagnostics","RJ45 Socket Repair","CCTV System Service","On-Site Across Warsaw","Clear Terms Before Visit","Report A Network Fault","We locate LAN, cabling and RJ45 faults. The work scope is agreed first.","Help with network and CCTV faults at homes, offices and commercial premises.","Visit and timing agreed in advance. Results depend on on-site diagnostics.","Describe the fault in the form or call us to agree the next step."
"SRCH-EN-C-OUTSIDE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/en/","komputer","serwis","Computer Repair Warsaw","Laptop Repair Service","Is Your Computer Slow?","Computer Diagnostics","On-Site Technician","For Homes And Offices","Terms Agreed Before Repair","Book By Phone Or Form","Computer and laptop diagnostics. Scope and price are confirmed before repair.","Slow computer or hardware fault? Arrange diagnostics and a Warsaw visit.","Visit and timing agreed first. Parts and extra work require your approval.","Call or describe the problem in the form and we will agree the next step."
"SRCH-EN-C-OUTSIDE","IT-GENERAL","Paused","https://naserwis.pl/en/","it","warszawa","IT Service In Warsaw","On-Site IT Technician","IT Help For Home And Office","Networks Wi-Fi And Computers","Support In 4 Languages","Appointment By Agreement","Clear Service Terms","Contact Our IT Service","On-site IT help in Warsaw for networks, Wi-Fi and equipment setup.","Support in English, Polish, Ukrainian and Russian. Timing agreed in advance.","We first clarify the issue, then confirm the scope and visit terms.","Call, message us or send the contact form to arrange the next step."
